p,depth,time
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,4.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,4.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,4.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,4.000000000000000000e+00,6.738686561584472656e-02
1.000000000000000000e+00,5.000000000000000000e+00,6.738686561584472656e-02
